sector,final_demand_domestic,exports,imports_raw,imports,unskilled_labor,skilled_labor,productivity,INE_sector,shock_pct,covid_productivity,nominal_input,covid_input,delta
obs,92.82222999999999,1121.238469999993,32.5,32.5,66.79926999999999,295.65909,1181.560699999993,professional_services,0.6808960280894754,804.5199875766153,3453.589416091152,2471.9553436555298,-0.28
ocr,192.46979000000002,297.4902400000016,29.8,29.8,91.75894,3.78797,460.16003000000165,ag,1.0234981102630372,470.9729211235842,594.139538894332,595.8953276081621,0.0
ofd,472.73339,769.5935799999867,47.6,47.6,17.94642,35.64528,1194.7269699999867,ag,1.0234981102630372,1222.8007960752707,1819.7559344663455,1779.4488908355013,-0.02
ofi,435.11605000000003,701.6895200000022,27.0,27.0,169.83614,279.4913,1109.8055700000023,finance,0.8528376837800636,946.4840117650152,1709.9145166201552,1397.6061638033561,-0.18
oil,0.11366,1611.642749999994,340.0,340.0,51.39718,68.99257,1271.756409999994,energy,0.4737363659546029,602.4772600528692,5538.946121009333,3041.1826676371493,-0.45
ome,55.784710000000004,95.21567000000184,7.8,7.8,0.52232,1.03744,143.20038000000181,manufacturing,0.6706612229979889,96.03894198457797,193.46099420143435,128.5428372556359,-0.34
omf,105.56375999999997,199.2767200000027,47.8,47.8,11.64138,23.12218,257.0404800000027,manufacturing,0.6706612229979889,172.3870826767919,356.153309910638,254.60658880348348,-0.29
omn,0.00308,3627.745659999987,0.0,0.0,259.59641,348.46701,3627.748739999987,mining,0.04103584468537602,148.867733852208,4585.466931434243,573.192463373099,-0.87
omt,621.19681,740.1369999999845,10.9,10.9,9.15645,18.18658,1350.4338099999845,ag,1.0234981102630372,1382.1664525702975,1625.4926428565236,1592.9014150945582,-0.02
osd,1.72381,954.0868199999921,199.0,199.0,229.15189,9.4598,756.8106299999921,ag,1.0234981102630372,774.5942496319706,1438.6803592307244,1454.393486648556,0.01
osg,5113.78887,5588.507489999979,17.1,17.1,902.84521,2091.0735,10685.196359999978,public_services,0.9727014375921912,10393.505860326826,11679.999115114382,11072.148202700204,-0.05
otn,7.899319999999999,22.30334999999975,1.48,1.48,0.17627,0.35012,28.72266999999975,transportation,0.4715520870813227,13.544234985047975,50.94938171152644,30.506429721974655,-0.4
otp,1602.48641,3270.426779999985,123.0,123.0,262.94168,580.01221,4749.913189999985,transportation,0.4715520870813227,2239.831478199596,8051.343801587396,4495.657827067296,-0.44
p_c,742.3620599999999,2456.712769999981,242.0,242.0,1.32925,2.64017,2957.074829999981,energy,0.4737363659546029,1400.873883820016,6525.166109811855,3728.9941857131657,-0.43
pcr,115.90186,139.5723200000023,0.707,0.707,1.14761,2.27939,254.7671800000023,ag,1.0234981102630372,260.75372728704536,309.1892340151621,306.901120123051,-0.01
pdr,0.15032,156.7289200000009,0.001,0.001,39.47352,1.62954,156.8782400000009,ag,1.0234981102630372,160.56458218139213,561.4366813692229,554.7046093621566,-0.01
pfb,1.64781,10.60891999999993,0.014,0.014,1.38366,0.05712,12.24272999999993,ag,1.0234981102630372,12.530411019460521,29.18184536297629,25.917736219512566,-0.11
ppp,52.316100000000006,384.9241199999911,2.4,2.4,15.10282,29.9973,434.8402199999911,manufacturing,0.6706612229979889,291.63047375390863,1228.9505124425505,863.6068332008351,-0.3
rmk,0.49709000000000003,115.0022500000012,0.002,0.002,25.11446,1.03677,115.4973400000012,ag,1.0234981102630372,118.21130923040872,351.543882720886,346.33785681859143,-0.01
ros,125.61706000000001,132.86586,84.2,84.2,100.96069,18.82305,174.28292000000005,other_services,0.6244845915001387,108.83699810165137,174.76333577092484,109.195864541382,-0.38
sgr,222.35424,292.8026200000042,19.1,19.1,12.5301,24.88735,496.0568600000041,ag,1.0234981102630372,507.7132587930202,660.4814887706335,645.0002140711314,-0.02
tex,37.14848,108.1444800000024,16.5,16.5,6.319369999999999,12.55157,128.7929600000024,manufacturing,0.6706612229979889,86.37644406713268,201.85126610756703,141.90413359420606,-0.3
trd,1182.389,3961.170209999977,22.3,22.3,870.41852,62.23197,5121.2592099999765,commerce,0.5540027884465353,2837.1918826974875,10826.214213887964,7192.764157243112,-0.34
v_f,739.9991899999999,1296.341039999994,287.0,287.0,373.11404,15.40282,1749.3402299999939,ag,1.0234981102630372,1790.4464196121005,2541.0675231205278,2509.611880415762,-0.01
vol,376.80541999999997,1319.197199999976,1160.0,1160.0,4.54665,9.03059,536.0026199999759,ag,1.0234981102630372,548.5976686660122,665.11335646871,671.7025946596855,0.01
wap,186.99595,398.1065899999925,52.2,52.2,23.50678,46.68929,532.9025399999924,manufacturing,0.6706612229979889,357.39706921512965,909.0106252714938,641.2815902667649,-0.29
wht,0.07908,59.34789000000092,0.011,0.011,7.0377,0.29053,59.41597000000092,ag,1.0234981102630372,60.812133014446246,234.08239956679813,233.18472188088424,-0.0
wol,20.4316,24.47900999999978,9.45,9.45,3.37761,0.13943,35.460609999999775,ag,1.0234981102630372,36.29386732377433,42.59016046084147,42.9681048760406,0.01
wtp,78.43342,199.6113800000018,19.3,19.3,13.41778,29.59773,258.74480000000176,transportation,0.4715520870813227,122.01165046144025,499.5907400994721,284.2221667051182,-0.43
wtr,109.92342,177.5778500000021,2.66,2.66,18.78826,15.52011,284.84127000000205,utilities,0.7228790696355432,205.90579225140803,436.15789310673665,318.43568547787794,-0.27
