sector,final_demand_domestic,exports,imports_raw,imports,unskilled_labor,skilled_labor,productivity,INE_sector,shock_pct,covid_productivity,nominal_input,covid_input,delta
mil,328.04413,396.5360300000039,52.1,52.1,19.8921,39.5098,672.4801600000038,ag,1.0296715250405295,692.4336719067032,802.2328558479596,804.6399234041253,0.0
mvh,25.914759999999998,32.4416999999997,2.34,2.34,0.1008,0.20021,56.0164599999997,manufacturing,0.8574974035282854,48.0339690048458,65.36940013166068,55.161092230882765,-0.16
nfm,0.00972,1007.930119999989,1806.0,1007.939839999989,4.18878,8.31977,0.0,mining,0.2319557974749391,0.0,70.88785663030379,54.85775562198527,-0.23
nmm,32.66103,743.1467099999925,12.2,12.2,59.08150999999999,117.34801,763.6077399999924,mining,0.2319557974749391,177.1232422897342,2269.547481266154,1209.8166049508013,-0.47
oap,125.58775,616.7712399999907,2.83,2.83,142.50352,5.8828,739.5289899999907,ag,1.0296715250405295,761.471942944973,1814.5772517166213,1835.668247814372,0.01
obs,92.82222999999999,1121.238469999993,32.5,32.5,66.79926999999999,295.65909,1181.560699999993,professional_services,0.7831739143061383,925.3675184092953,3453.589416091152,2872.898446285872,-0.17
ocr,192.46979000000002,297.4902400000016,29.8,29.8,91.75894,3.78797,460.16003000000165,ag,1.0296715250405295,473.8136798527975,594.139538894332,603.9631617839129,0.02
ofd,472.73339,769.5935799999867,47.6,47.6,17.94642,35.64528,1194.7269699999867,ag,1.0296715250405295,1230.1763412069372,1819.7559344663455,1818.1487859412405,-0.0
ofi,435.11605000000003,701.6895200000022,27.0,27.0,169.83614,279.4913,1109.8055700000023,finance,0.9470336810677549,1051.0232542266,1709.9145166201552,1562.2150371336072,-0.09
oil,0.11366,1611.642749999994,340.0,340.0,51.39718,68.99257,1271.756409999994,energy,0.808671748499249,1028.433479739823,5538.946121009333,4352.927446952344,-0.21
ome,55.784710000000004,95.21567000000184,7.8,7.8,0.52232,1.03744,143.20038000000181,manufacturing,0.8574974035282854,122.79395403426537,193.46099420143435,160.88496643143503,-0.17
