sector,labor_input_EH_initial,labor_input_EH_final,labor_input_GTAP,total_output_GTAP,final_demand_GTAP,labor_frac_value_added,value_added_EH_initial,value_added_EH_final,total_output_EH_initial,total_output_EH_final
lum,79.56106818615866,46.48119811378999,88.30881,729.3413499999876,283.6893599999878,3.212469514649646,255.5875061009965,149.319431944941,93.61295050082404,72.67701972707107
ppp,40.63256794564368,23.738374604704813,45.10012,384.9241199999911,60.396389999991165,1.33916251220598,54.41361176746837,31.789541371323136,0.2800107243300758,-3.6271441914926505
p_c,0.6797893419166019,0.40906202001694525,3.96942,2456.712769999981,767.7974399999807,193.42811796181326,131.49037301742788,79.1240966615353,-165.19169433852537,-55.19668792446522
crp,60.89031775182855,35.57336505352186,67.58521000000002,755.9251099999866,0.0,0.0,60.89031775182855,35.57336505352186,-27.734039227180173,-8.163873955038952
nmm,38.59126132993356,5.630730882442701,176.42952,743.1467099999925,29.344549999992683,0.1663244903686905,6.418671873386152,0.9365284444255291,-437.4704643707941,-162.82458391012486
i_s,0.44743280270470376,0.06528352826998944,2.04555,106.6301900000014,1.315650000001419,0.6431766517569452,0.2877783319298372,0.04198884112757168,-19.801608831127155,-5.462615116399842
nfm,2.736054158672202,0.3992091503710867,12.50855,1007.930119999989,-832.0841900000107,-66.52123467548283,-182.00570077386428,-26.55588557643517,-198.81042279282548,-34.07095436700958
fmp,0.26098472204717105,0.15247259553834647,0.28968,20.80381999999974,7.151879999999739,24.68889809444815,6.443425206830481,3.7643803734422456,2.9147612717227984,2.1094258028418045
mvh,0.27119238878562196,0.15843612255936784,0.30101,32.4416999999997,26.1009699999997,86.71130527224909,23.515446011500526,13.738202989396816,22.65856781213773,13.308022859980364
otn,0.30487935360596635,0.11906753262819537,0.52639,22.30334999999975,10.880379999999754,20.669807557133975,6.301797567178725,2.461102985727569,4.025401358814008,0.9403136705596365
ele,0.1525564173717463,0.08912656932652653,0.16932999999999998,32.57724999999974,25.525229999999734,150.7425146164279,22.996737975490344,13.435163179416001,22.13410051321122,12.841390036328015
ome,1.4052524511885374,0.8209771320660427,1.5597599999999998,95.21567000000184,62.499320000001845,40.06983125609187,56.308228591334164,32.89641514699658,51.66692178898869,30.199681942857953
omf,31.31993249092155,18.29774310740486,34.76356,199.2767200000027,103.42334000000274,2.975050311303064,93.17837490710711,54.436706327828325,83.37559628893145,46.7364247356766
TnD,3.689032196788627,2.561757867786674,17.10329,86.59537999999961,0.0,0.0,3.689032196788627,2.561757867786674,-4.762362369305357,-2.988437403646924
Nucl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
